"Date_Updated","Impressions","From_Home","From_Hashtags","From_Explore","From_Other","Saves","Comments","Shares","Likes","Profile_Visits","Follows"
"2021-09-15","2523","1659","796","29","21","34","6","5","86","175","153"
"2021-09-22","2327","1774","435","59","35","45","3","7","85","188","161"
"2021-09-29","2518","1704","255","279","37","96","5","6","123","170","147"
"2021-10-06","4344","2168","1274","673","40","119","7","8","162","195","173"
"2021-10-13","1941","1466","411","37","17","49","6","9","82","208","181"
"2021-10-20","4239","1711","2429","36","50","109","2","7","178","190","167"
"2021-10-27","3884","2046","1214","329","43","74","7","6","144","180","157"
"2021-11-03","2064","1304","362","249","37","49","4","9","76","205","177"
"2021-11-10","3015","2034","771","115","41","52","11","10","92","218","187"
"2021-11-17","3015","2034","771","115","41","52","11","11","92","225","193"
"2021-11-24","2407","1338","655","276","39","40","8","12","72","230","197"
"2021-12-01","4628","2406","1260","861","26","144","8","13","160","235","203"
"2021-12-08","2407","1338","655","276","39","40","8","9","72","215","187"
"2021-12-15","4628","2406","1260","861","26","144","8","11","160","228","197"
"2021-12-22","3973","2415","745","676","18","72","3","12","91","240","207"
"2021-12-29","2766","2541","116","51","9","40","10","14","114","245","211"
"2022-01-05","4355","2879","139","1239","32","79","8","15","122","255","217"
"2022-01-12","2766","2541","116","51","9","40","10","16","114","235","203"
"2022-01-19","3541","2071","628","500","60","135","4","17","124","248","213"
"2022-01-26","2941","1716","1058","84","48","48","2","13","99","260","223"
"2022-02-02","4446","2454","1590","192","69","174","6","15","190","265","227"
"2022-02-09","3854","1975","1721","60","43","81","11","16","150","270","233"
"2022-02-16","3988","2415","802","545","64","118","6","18","142","275","239"
"2022-02-23","3052","2608","201","121","87","63","5","19","129","280","241"
"2022-03-02","3990","2123","1482","332","36","98","4","20","156","260","227"
"2022-03-09","3630","1747","1693","72","86","137","4","21","137","270","233"
"2022-03-16","3630","1747","1693","72","86","137","4","17","137","280","239"
"2022-03-23","3052","2608","201","121","87","63","5","18","129","285","241"
"2022-03-30","3234","2414","476","185","75","122","8","19","151","290","247"
"2022-04-06","4467","1910","1880","492","60","89","3","22","149","295","251"
"2022-04-13","3246","2508","166","360","139","148","5","23","132","275","237"
"2022-04-20","4002","3401","278","128","73","111","17","24","205","280","239"
"2022-04-27","3388","1975","1018","244","44","99","1","25","112","285","243"
