"Neighbourhoods_ID","Click_ID","Browser_ID","Entr_Time","Duration","Attributes__what_they_search_for_"
"L1","10001","B1","2021-10-30 3:03","0:25:22","Location"
"L2","10002","B1","2021-10-30 5:44","0:19:34","Accessability"
"L1","10003","B1","2021-10-30 6:05","0:40:54","Location"
"L2","10004","B1","2021-10-30 9:15","0:19:13","Menu"
"L2","10005","B2","2021-10-31 7:55","0:00:13","Offers"
"L2","10006","B2","2021-10-31 7:57","0:10:54","Website"
"L2","10007","B2","2021-11-1 7:56","0:10:43","Ambience"
"L2","10008","B2","2021-11-1 8:07","0:22:27","Website"
"L3","10009","B2","2021-11-1 8:35","0:21:21","Location"
"L7","10010","B2","2021-11-1 8:57","0:00:01","Website"
"L4","10011","B2","2021-11-1 15:25","0:19:54","Speciality Offerings"
"L1","10012","B2","2021-11-2 4:40","0:24:28","Website"
"L1","10013","B2","2021-11-2 8:23","0:24:48","Speciality Offerings"
"L7","10014","B2","2021-11-2 9:05","0:00:09","Website"
"L4","10015","B2","2021-11-2 9:06","0:14:57","Instagram"
"L2","10016","B2","2021-11-2 9:21","0:00:02","Website"
"L3","10017","B2","2021-11-2 15:42","0:01:34","Website"
"L7","10018","B2","2021-11-3 4:46","0:26:27","Instagram"
"L1","10019","B2","2021-11-3 7:56","0:31:25","Accessability"
"L3","10020","B2","2021-11-3 8:28","0:29:59","Instagram"
"L3","10021","B5","2021-11-3 15:26","0:09:42","Website"
"L4","10022","B5","2021-11-3 15:40","0:31:26","Website"
"L1","10023","B7","2021-11-3 16:16","0:06:07","Menu"
"L7","10024","B7","2021-11-3 16:22","0:00:03","Instagram"
"L6","10025","B2","2021-11-4 4:52","0:17:50","Accessability"
"L1","10026","B2","2021-11-4 7:32","0:20:49","Menu"
"L2","10027","B2","2021-11-4 7:53","0:33:46","Speciality Offerings"
"L7","10028","B2","2021-11-4 15:08","0:06:28","Website"
"L2","10029","B2","2021-11-4 15:16","0:30:06","Speciality Offerings"
