"Date_Updated","Impressions","From_Home","From_Hashtags","From_Explore","From_Other","Saves","Comments","Shares","Likes","Profile_Visits","Follows","Captions","Hashtags"
"2021-09-15","2523","1659","796","29","21","34","6","5","86","175","153","Rise and grind with Ckara Coffee ???","#CaffeineChuckle #RoastAndRejoice #BrewtifulBanter"
"2021-09-22","2327","1774","435","59","35","45","3","7","85","188","161","Sip, sip, hooray! It's Ckara time! ????","#EspressoEuphoria #LatteLaughs #CaffeineClub"
"2021-09-29","2518","1704","255","279","37","96","5","6","123","170","147","A latte love for our amazing customers! ????","#SipAndShare #MorningsMadeBetter #CuppaComfort"
"2021-10-06","4344","2168","1274","673","40","119","7","8","162","195","173","Espresso yourself at Ckara Coffee! ???????","#CoffeeAndLaughs #PerkUpPals #MugMoments"
"2021-10-13","1941","1466","411","37","17","49","6","9","82","208","181","Caffeinate your day the Ckara way! ????","#BrewAndBanter #RoastAndRelax #CaffeineClan"
"2021-10-20","4239","1711","2429","36","50","109","2","7","178","190","167","Life happens, coffee helps. Especially when it's from Ckara! ????","#SavorTheSips #BrewingHappiness #CoffeeCuddle"
"2021-10-27","3884","2046","1214","329","43","74","7","6","144","180","157","Start your day on a delicious note with Ckara Coffee! ????","#PerkAndPlay #LatteLaughs #MugMagic"
"2021-11-03","2064","1304","362","249","37","49","4","9","76","205","177","Brewing up happiness, one cup at a time. Welcome to Ckara! ????","#BrewedBrilliance #SipAndSmirk #CoffeeClique"
"2021-11-10","3015","2034","771","115","41","52","11","10","92","218","187","Need a pick-me-up? Ckara's got you covered! ????","#MorningMusings #SipsAndGiggles #JavaJaunt"
"2021-11-17","3015","2034","771","115","41","52","11","11","92","225","193","Happiness is a cup of Ckara Coffee in hand. ????","#CupOfCheer #EspressoEnvy #SipAndGrin"
"2021-11-24","2407","1338","655","276","39","40","8","12","72","230","197","Coffee lovers unite! Join us at Ckara for your daily dose of joy! ????","#CoffeeChat #CaffeineComrades #BrewingBuddies"
"2021-12-01","4628","2406","1260","861","26","144","8","13","160","235","203","Tag someone who needs a Ckara Coffee right now! ???????","#MorningMerriment #CoffeeCamaraderie #SipAndSnicker"
"2021-12-08","2407","1338","655","276","39","40","8","9","72","215","187","Feeling brew-tiful today? Treat yourself to Ckara Coffee! ???????","#SipAndShare #MorningsMadeBetter #CuppaComfort"
"2021-12-15","4628","2406","1260","861","26","144","8","11","160","228","197","When life gives you beans, make coffee! Preferably from Ckara. ????","#CoffeeAndLaughs #PerkUpPals #MugMoments"
"2021-12-22","3973","2415","745","676","18","72","3","12","91","240","207","Embrace the magic of mornings with Ckara Coffee! ???","#BrewAndBanter #RoastAndRelax #CaffeineClan"
"2021-12-29","2766","2541","116","51","9","40","10","14","114","245","211","Because every great day starts with great coffee. Visit Ckara today! ????","#SavorTheSips #BrewingHappiness #CoffeeCuddle"
"2022-01-05","4355","2879","139","1239","32","79","8","15","122","255","217","Ckara Coffee: where every cup tells a story. What's yours? ????","#PerkAndPlay #LatteLaughs #MugMagic"
"2022-01-12","2766","2541","116","51","9","40","10","16","114","235","203","Keep calm and drink Ckara Coffee. Your taste buds will thank you! ????","#BrewedBrilliance #SipAndSmirk #CoffeeClique"
