"Neighbourhoods_ID","Neighbourhoods","Click_ID","Entr_Time","Duration","Attributes__what_they_search_for_","Browser_ID"
"L1","Barceloneta","10001","2021-10-30 3:03","0:25:22","Location","B1"
"L2","El Born","10002","2021-10-30 5:44","0:19:34","Accessability","B1"
"L1","Barceloneta","10003","2021-10-30 6:05","0:40:54","Location","B1"
"L2","El Born","10004","2021-10-30 9:15","0:19:13","Menu","B1"
"L2","El Born","10005","2021-10-31 7:55","0:00:13","Offers","B2"
"L2","El Born","10006","2021-10-31 7:57","0:10:54","Website","B2"
"L2","El Born","10007","2021-11-1 7:56","0:10:43","Ambience","B2"
"L2","El Born","10008","2021-11-1 8:07","0:22:27","Website","B2"
"L3","Sants","10009","2021-11-1 8:35","0:21:21","Location","B2"
"L7","Poblenou","10010","2021-11-1 8:57","0:00:01","Website","B2"
"L4","Gracia","10011","2021-11-1 15:25","0:19:54","Speciality Offerings","B2"
"L1","Barceloneta","10012","2021-11-2 4:40","0:24:28","Website","B2"
"L1","Barceloneta","10013","2021-11-2 8:23","0:24:48","Speciality Offerings","B2"
"L7","Poblenou","10014","2021-11-2 9:05","0:00:09","Website","B2"
"L4","Gracia","10015","2021-11-2 9:06","0:14:57","Instagram","B2"
"L2","El Born","10016","2021-11-2 9:21","0:00:02","Website","B2"
"L3","Sants","10017","2021-11-2 15:42","0:01:34","Website","B2"
"L7","Poblenou","10018","2021-11-3 4:46","0:26:27","Instagram","B2"
"L1","Barceloneta","10019","2021-11-3 7:56","0:31:25","Accessability","B2"
"L3","Sants","10020","2021-11-3 8:28","0:29:59","Instagram","B2"
"L3","Sants","10021","2021-11-3 15:26","0:09:42","Website","B5"
"L4","Gracia","10022","2021-11-3 15:40","0:31:26","Website","B5"
"L1","Barceloneta","10023","2021-11-3 16:16","0:06:07","Menu","B7"
"L7","Poblenou","10024","2021-11-3 16:22","0:00:03","Instagram","B7"
"L6","Sarria","10025","2021-11-4 4:52","0:17:50","Accessability","B2"
"L1","Barceloneta","10026","2021-11-4 7:32","0:20:49","Menu","B2"
"L2","El Born","10027","2021-11-4 7:53","0:33:46","Speciality Offerings","B2"
"L7","Poblenou","10028","2021-11-4 15:08","0:06:28","Website","B2"
"L2","El Born","10029","2021-11-4 15:16","0:30:06","Speciality Offerings","B2"
"L2","El Born","10030","2021-11-4 15:53","0:10:51","Accessability","B2"
"L1","Barceloneta","10031","2021-11-4 16:09","0:40:03","Instagram","B2"
"L1","Barceloneta","10032","2021-11-4 16:53","0:00:02","Accessability","B2"
"L7","Poblenou","10033","2021-11-5 4:19","0:32:50","Website","B2"
"L1","Barceloneta","10034","2021-11-5 7:26","0:07:50","Speciality Offerings","B2"
"L2","El Born","10035","2021-11-5 7:34","0:37:37","Location","B2"
"L1","Barceloneta","10036","2021-11-5 8:14","0:39:53","Accessability","B2"
"L7","Poblenou","10037","2021-11-6 4:40","0:35:59","Menu","B2"
"L7","Poblenou","10038","2021-11-6 7:53","0:04:17","Instagram","B2"
"L3","Sants","10039","2021-11-6 7:58","0:12:38","Website","B2"
"L7","Poblenou","10040","2021-11-6 13:13","0:10:39","Location","B2"
"L7","Poblenou","10041","2021-11-7 4:48","0:17:09","Careers","B2"
"L1","Barceloneta","10042","2021-11-7 5:05","0:04:48","Location","B2"
"L4","Gracia","10043","2021-11-7 8:42","0:36:42","Location","B2"
"L5","Eixample","10044","2021-11-7 9:21","0:04:00","Speciality Offerings","B2"
