Date,Impressions,From Home,From Hashtags,From Explore,From Other,Saves,Comments,Shares,Likes,Profile Visits,Follows,Caption,Hashtags
15-09-2021,2523,1659,796,29,21,34,6,5,86,175,153,1. Rise and grind with Ckara Coffee ???,#CaffeineChuckle #RoastAndRejoice #BrewtifulBanter
22-09-2021,2327,1774,435,59,35,45,3,7,85,188,161,"2. Sip, sip, hooray! It's Ckara time! ????",#EspressoEuphoria #LatteLaughs #CaffeineClub
29-09-2021,2518,1704,255,279,37,96,5,6,123,170,147,3. A latte love for our amazing customers! ????,#SipAndShare #MorningsMadeBetter #CuppaComfort
06-10-2021,4344,2168,1274,673,40,119,7,8,162,195,173,4. Espresso yourself at Ckara Coffee! ???????,#CoffeeAndLaughs #PerkUpPals #MugMoments
13-10-2021,1941,1466,411,37,17,49,6,9,82,208,181,5. Caffeinate your day the Ckara way! ????,#BrewAndBanter #RoastAndRelax #CaffeineClan
20-10-2021,4239,1711,2429,36,50,109,2,7,178,190,167,"6. Life happens, coffee helps. Especially when it's from Ckara! ????",#SavorTheSips #BrewingHappiness #CoffeeCuddle
27-10-2021,3884,2046,1214,329,43,74,7,6,144,180,157,7. Start your day on a delicious note with Ckara Coffee! ????,#PerkAndPlay #LatteLaughs #MugMagic
03-11-2021,2064,1304,362,249,37,49,4,9,76,205,177,"8. Brewing up happiness, one cup at a time. Welcome to Ckara! ????",#BrewedBrilliance #SipAndSmirk #CoffeeClique
10-11-2021,3015,2034,771,115,41,52,11,10,92,218,187,9. Need a pick-me-up? Ckara's got you covered! ????,#MorningMusings #SipsAndGiggles #JavaJaunt
17-11-2021,3015,2034,771,115,41,52,11,11,92,225,193,10. Happiness is a cup of Ckara Coffee in hand. ????,#CupOfCheer #EspressoEnvy #SipAndGrin
24-11-2021,2407,1338,655,276,39,40,8,12,72,230,197,11. Coffee lovers unite! Join us at Ckara for your daily dose of joy! ????,#CoffeeChat #CaffeineComrades #BrewingBuddies
